dataset,repeat,method,time_explanation,time_sample_choose,n_original,n_sample
compas,5,cte_sage_permutation,20.632042169570923,0.02321791648864746,1235,32
compas,5,cte_with_predictions_shap_kernel,13.517627000808716,0.021897077560424805,1235,32
compas,5,cte_with_predictions_shap_permutation,13.765145063400269,0.021897077560424805,1235,32
compas,5,cte_with_predictions_sage_kernel,18.79727005958557,0.021897077560424805,1235,32
compas,5,cte_with_predictions_sage_permutation,26.355525016784668,0.021897077560424805,1235,32
compas,5,cte_stratified_shap_kernel,10.802294969558716,0.0016269683837890625,1235,24
compas,5,cte_stratified_shap_permutation,12.722859144210815,0.0016269683837890625,1235,24
compas,5,cte_stratified_sage_kernel,16.9810791015625,0.0016269683837890625,1235,24
compas,5,cte_stratified_sage_permutation,19.95843267440796,0.0016269683837890625,1235,24
compas,6,cte_shap_kernel,13.602182865142822,0.02234506607055664,1235,32
compas,6,cte_shap_permutation,13.257108926773071,0.02234506607055664,1235,32
compas,6,cte_sage_kernel,13.444000005722046,0.02234506607055664,1235,32
compas,6,cte_sage_permutation,23.3036367893219,0.02234506607055664,1235,32
compas,6,cte_with_predictions_shap_kernel,13.664767026901245,0.022313356399536133,1235,32
compas,6,cte_with_predictions_shap_permutation,15.146235227584839,0.022313356399536133,1235,32
compas,6,cte_with_predictions_sage_kernel,18.197584867477417,0.022313356399536133,1235,32
compas,6,cte_with_predictions_sage_permutation,29.420207738876343,0.022313356399536133,1235,32
compas,6,cte_stratified_shap_kernel,11.02639889717102,0.0017499923706054688,1235,24
compas,6,cte_stratified_shap_permutation,12.932879209518433,0.0017499923706054688,1235,24
compas,6,cte_stratified_sage_kernel,9.308716058731079,0.0017499923706054688,1235,24
compas,6,cte_stratified_sage_permutation,15.050692081451416,0.0017499923706054688,1235,24
compas,7,cte_shap_kernel,13.67483401298523,0.022145986557006836,1235,32
compas,7,cte_shap_permutation,13.497998714447021,0.022145986557006836,1235,32
compas,7,cte_sage_kernel,15.665246963500977,0.022145986557006836,1235,32
compas,7,cte_sage_permutation,27.934757947921753,0.022145986557006836,1235,32
compas,7,cte_with_predictions_shap_kernel,13.785679817199707,0.022994041442871094,1235,32
compas,7,cte_with_predictions_shap_permutation,13.406306982040405,0.022994041442871094,1235,32
compas,7,cte_with_predictions_sage_kernel,18.79208993911743,0.022994041442871094,1235,32
compas,7,cte_with_predictions_sage_permutation,28.128124952316284,0.022994041442871094,1235,32
compas,7,cte_stratified_shap_kernel,10.652620077133179,0.001722097396850586,1235,24
compas,7,cte_stratified_shap_permutation,12.95844030380249,0.001722097396850586,1235,24
compas,7,cte_stratified_sage_kernel,9.165074348449707,0.001722097396850586,1235,24
compas,7,cte_stratified_sage_permutation,15.416866064071655,0.001722097396850586,1235,24
compas,8,cte_shap_kernel,14.562702894210815,0.024509906768798828,1235,32
compas,8,cte_shap_permutation,12.83578610420227,0.024509906768798828,1235,32
compas,8,cte_sage_kernel,7.668263912200928,0.024509906768798828,1235,32
