dataset,repeat,method,time_explanation,time_sample_choose,n_original,n_sample
german,7,cte_sage_permutation,22.803396701812744,0.0003249645233154297,200,8
german,7,cte_with_predictions_shap_kernel,15.137037992477417,0.000354766845703125,200,8
german,7,cte_with_predictions_shap_permutation,0.6595561504364014,0.000354766845703125,200,8
german,7,cte_with_predictions_sage_kernel,25.02907085418701,0.000354766845703125,200,8
german,7,cte_with_predictions_sage_permutation,23.177075147628784,0.000354766845703125,200,8
german,7,cte_stratified_shap_kernel,18.903486013412476,0.000431060791015625,200,12
german,7,cte_stratified_shap_permutation,0.7337441444396973,0.000431060791015625,200,12
german,7,cte_stratified_sage_kernel,17.66721510887146,0.000431060791015625,200,12
german,7,cte_stratified_sage_permutation,18.333014011383057,0.000431060791015625,200,12
german,8,cte_shap_kernel,15.751982927322388,0.0003190040588378906,200,8
german,8,cte_shap_permutation,0.6789000034332275,0.0003190040588378906,200,8
german,8,cte_sage_kernel,14.836978912353516,0.0003190040588378906,200,8
german,8,cte_sage_permutation,11.571492195129395,0.0003190040588378906,200,8
german,8,cte_with_predictions_shap_kernel,15.048524141311646,0.000354766845703125,200,8
german,8,cte_with_predictions_shap_permutation,0.6965267658233643,0.000354766845703125,200,8
german,8,cte_with_predictions_sage_kernel,9.70639419555664,0.000354766845703125,200,8
german,8,cte_with_predictions_sage_permutation,9.010655879974365,0.000354766845703125,200,8
german,8,cte_stratified_shap_kernel,19.613391876220703,0.0004680156707763672,200,12
german,8,cte_stratified_shap_permutation,0.7518641948699951,0.0004680156707763672,200,12
german,8,cte_stratified_sage_kernel,19.279412031173706,0.0004680156707763672,200,12
german,8,cte_stratified_sage_permutation,16.528684854507446,0.0004680156707763672,200,12
german,9,cte_shap_kernel,16.22879385948181,0.0003199577331542969,200,8
german,9,cte_shap_permutation,0.6686651706695557,0.0003199577331542969,200,8
german,9,cte_sage_kernel,13.575697898864746,0.0003199577331542969,200,8
german,9,cte_sage_permutation,10.706698894500732,0.0003199577331542969,200,8
german,9,cte_with_predictions_shap_kernel,15.583153009414673,0.0003218650817871094,200,8
german,9,cte_with_predictions_shap_permutation,0.7167420387268066,0.0003218650817871094,200,8
german,9,cte_with_predictions_sage_kernel,13.370184183120728,0.0003218650817871094,200,8
german,9,cte_with_predictions_sage_permutation,10.287226915359497,0.0003218650817871094,200,8
german,9,cte_stratified_shap_kernel,19.68114471435547,0.00043702125549316406,200,12
german,9,cte_stratified_shap_permutation,0.7438628673553467,0.00043702125549316406,200,12
german,9,cte_stratified_sage_kernel,17.327787160873413,0.00043702125549316406,200,12
german,9,cte_stratified_sage_permutation,18.44096279144287,0.00043702125549316406,200,12
